model,feature_set,static_features,n_train,n_test,MAE,RMSE,R2,seed
attention_lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,15.73416233062744,22.74765371443215,0.8580125570297241,7
lstm,glucose_only,none,134574,31527,16.460689544677734,23.08910722740474,0.8537179827690125,8
attention_lstm,glucose_only,none,134574,31527,16.689321517944336,23.59066101467644,0.8472937345504761,8
lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,16.64385223388672,23.532721930640403,0.848042905330658,8
attention_lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,16.170166015625,23.441320001195272,0.8492209911346436,8
lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,16.05763053894043,22.77110837146149,0.8577196002006531,8
attention_lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,15.701891899108888,22.75436325989548,0.8579288125038147,8
lstm,glucose_only,none,134574,31527,16.34534454345703,23.02403131657022,0.8545413613319397,9
attention_lstm,glucose_only,none,134574,31527,16.788610458374023,23.29996495060065,0.8510339856147766,9
lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,15.967339515686035,22.878521757589585,0.8563741445541382,9
attention_lstm,glucose_insulin,"basal, bolus, bolus_30min, time_since_last_bolus_min",134574,31527,16.56791877746582,23.420022129012548,0.8494948744773865,9
lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,16.03496742248535,22.627751472887223,0.8595054149627686,9
attention_lstm,glucose_meal,"carbs, carbs_30min, time_since_last_meal_min",134574,31527,15.987298965454102,22.989085385786883,0.8549826145172119,9
